decile,n,variance_min,variance_max,variance_mean,std_mean,abs_resid_muhat_1_mean,abs_resid_muhat_1_median,abs_resid_ensemble_mean_mean,abs_resid_ensemble_mean_median
1,2405,1.343662158130125e-06,0.0038844320944614688,0.0019527780053409998,0.04167111375300458,0.36060321775925785,0.2071971893310547,0.36523020414777024,0.21869277954101562
2,2404,0.0038882524844565426,0.007685572773172882,0.005765791544506509,0.07559030784256071,0.3679213018487655,0.20462512969970703,0.3779221430810201,0.21798039612775222
3,2404,0.007685938832057419,0.01177595313407033,0.00971454032663783,0.09838459834932897,0.39558445507913687,0.20908570289611816,0.4117413900899467,0.24016221364339208
4,2404,0.01178217956400355,0.016370424916355358,0.014032097919489976,0.11832413919307068,0.4014056842977097,0.22314296074969775,0.4148054591777186,0.25257905324300145
5,2404,0.016372209331772563,0.021705890464596044,0.018980728241833,0.1376548939847971,0.45381893866448914,0.2407846450805664,0.46852532412790243,0.2576812893260647
6,2404,0.021706571347800088,0.028570315789137463,0.0249820222927996,0.15792990427142695,0.4683281308473869,0.2573038024979404,0.48612484404317036,0.2868925730387373
7,2404,0.028570315789137463,0.03867826347479624,0.03321238461264213,0.1820693054399948,0.437234337432435,0.2736906898469975,0.4483882027793597,0.28510507889523273
8,2404,0.03867841322097674,0.060212586417492275,0.04768382948202278,0.21792013411854494,0.47977730902514976,0.30696678161621094,0.48492775886049017,0.31862995743793654
9,2404,0.06021472991086638,0.11630138712785588,0.08470656107650634,0.28964300759100214,0.6284853592408821,0.4638631343841553,0.6461051505464526,0.5036627451578775
10,2405,0.11630138712785588,0.73368103943863,0.19175815849540276,0.430433804133405,0.8883726771599966,0.6749529838562012,0.8809442965617783,0.6567584673563642
